step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
15,CASH_IN,392728.71,C1528550349,6859082.26,7251810.97,C376892298,421355.21,0.0,0.0
10,CASH_IN,442295.2,C182642851,2669155.18,3111450.38,C886517510,489506.43,47211.23,0.0
11,CASH_IN,2758.1,C1441370978,7097463.26,7100221.36,C289751605,91142.11,216000.36,0.0
10,CASH_IN,284696.12,C1822007290,9735165.78,10019861.9,C814900611,6568481.1,6061181.01,0.0
13,PAYMENT,17544.45,C616224470,0.0,0.0,M997115424,0.0,0.0,0.0
15,TRANSFER,588358.19,C1835892041,0.0,0.0,C814341840,980630.94,1799855.52,0.0
11,PAYMENT,286.06,C800693138,206047.0,205760.94,M290802983,0.0,0.0,0.0
12,PAYMENT,9861.49,C275995719,28235.0,18373.51,M1226521813,0.0,0.0,0.0
12,PAYMENT,20944.6,C2059063808,50535.0,29590.4,M1447116196,0.0,0.0,0.0
13,CASH_IN,460443.7,C1882780243,30367.0,490810.7,C1207499535,57736.23,0.0,0.0
15,CASH_OUT,98413.1,C303878538,216570.23,118157.13,C319442515,1646.0,0.0,0.0
7,PAYMENT,1520.18,C152818909,9978.0,8457.82,M394043289,0.0,0.0,0.0
13,PAYMENT,1784.3,C951037712,857845.39,856061.09,M7190328,0.0,0.0,0.0
14,CASH_OUT,184442.32,C276565056,0.0,0.0,C436595683,460658.98,645101.31,0.0
11,PAYMENT,10665.58,C1512603727,5917.0,0.0,M557986655,0.0,0.0,0.0
9,CASH_OUT,315938.56,C920618525,0.0,0.0,C1627965794,1273817.63,1025701.24,0.0
11,TRANSFER,29722.34,C2007679259,0.0,0.0,C751389024,902387.47,1218197.28,0.0
12,PAYMENT,33050.49,C2033826850,363557.44,330506.95,M342502392,0.0,0.0,0.0
12,CASH_OUT,351948.52,C305519536,206766.82,0.0,C1883133402,86586.48,522209.29,0.0
9,CASH_OUT,121724.45,C1534692189,0.0,0.0,C1781548235,291316.56,818108.42,0.0
8,PAYMENT,15852.21,C2076941099,622693.19,606840.98,M1732404221,0.0,0.0,0.0
15,CASH_OUT,432501.57,C528113191,34090.0,0.0,C1887018151,2177.22,434678.78,0.0
9,CASH_OUT,89359.95,C1757072238,31895.0,0.0,C1096524110,0.0,13638102.78,0.0
13,CASH_OUT,19792.57,C980121042,0.0,0.0,C1083239666,5520502.06,5540294.63,0.0
9,CASH_OUT,137216.79,C1177545620,0.0,0.0,C759700960,450625.63,133103.09,0.0
13,TRANSFER,686654.41,C742326327,0.0,0.0,C1925300085,1251999.04,1802461.7,0.0
13,CASH_OUT,421509.29,C1788208297,0.0,0.0,C2130510859,3008327.43,3429836.72,0.0
12,PAYMENT,19854.06,C1528244641,360028.65,340174.59,M2073938884,0.0,0.0,0.0
14,CASH_OUT,185688.69,C1936338200,10931.0,0.0,C417094017,0.0,185688.69,0.0
9,PAYMENT,7321.55,C1825878400,16774.0,9452.45,M1348974244,0.0,0.0,0.0
13,PAYMENT,19915.29,C968911722,130249.0,110333.71,M1339864068,0.0,0.0,0.0
8,PAYMENT,17962.45,C1482195398,2204491.42,2186528.97,M1538360489,0.0,0.0,0.0
10,TRANSFER,1546165.48,C991056842,0.0,0.0,C643585161,1687169.28,2197208.32,0.0
14,CASH_OUT,147848.72,C289400337,205778.0,57929.28,C1560565000,1341893.5,1916392.52,0.0
14,CASH_IN,82937.1,C988361443,5183086.09,5266023.19,C1032430011,333979.62,251042.52,0.0
8,PAYMENT,12599.86,C1508031708,0.0,0.0,M25211632,0.0,0.0,0.0
13,CASH_IN,151392.6,C218204620,1925344.53,2076737.13,C1491676195,2797594.27,2646201.67,0.0
13,CASH_IN,102583.02,C2073964799,5957187.77,6059770.79,C1833807230,136084.76,33501.74,0.0
14,CASH_OUT,160884.53,C142055506,10809.0,0.0,C2042581023,0.0,160884.53,0.0
8,CASH_IN,43776.94,C1622470307,6431517.71,6475294.65,C1712007468,133762.56,89985.62,0.0
12,CASH_OUT,92495.2,C963128502,0.0,0.0,C444685031,3052050.16,4112907.15,0.0
9,CASH_IN,282542.16,C1447575516,1432.0,283974.16,C2023146573,0.0,58069.68,0.0
8,CASH_IN,294189.04,C2135896513,3552902.09,3847091.14,C1859795678,777176.17,282742.76,0.0
10,PAYMENT,6397.93,C1090199872,583993.88,577595.95,M1270760881,0.0,0.0,0.0
8,PAYMENT,6898.08,C1477649366,161223.0,154324.92,M1911144089,0.0,0.0,0.0
12,CASH_OUT,158626.81,C1356259275,244315.0,85688.19,C159608248,1645119.74,2157717.68,0.0
13,PAYMENT,12515.24,C626845907,0.0,0.0,M1218279824,0.0,0.0,0.0
10,CASH_OUT,109482.78,C1982180069,0.0,0.0,C2141776586,1311383.72,2847553.8,0.0
8,CASH_IN,447818.48,C1398334494,21850.0,469668.48,C1587143371,77922.92,72042.92,0.0
15,PAYMENT,20727.98,C399962952,0.0,0.0,M158846922,0.0,0.0,0.0
15,CASH_OUT,57950.83,C750762590,0.0,0.0,C619943491,381524.52,439475.34,0.0
